inquiry_id,title,slug,doc_category,doc_type,module,published,page_url,pdf_url,local_pdf,local_txt,text_chars,selected_phase1,selected_for_manual_annotation,download_ok,text_ok,harvested_at
transcript-of-module-2-public-hearing-on-28-november-2023,Transcript of Module 2 Public Hearing on 28 November 2023,transcript-of-module-2-public-hearing-on-28-november-2023,document,Transcript,,,https://covid19.public-inquiry.uk/documents/transcript-of-module-2-public-hearing-on-28-november-2023/,https://covid19.public-inquiry.uk/wp-content/uploads/2023/11/28214340/C-19-Inquiry-28-November-23-Module-2-Day-27.pdf,data/raw/inquiry/document/transcript-of-module-2-public-hearing-on-28-november-2023.pdf,data/processed/inquiry/document/transcript-of-module-2-public-hearing-on-28-november-2023.txt,567685,true,true,true,true,2026-06-09T07:12:44.903866+00:00
transcript-of-module-2-public-hearing-on-30-november-2023,Transcript of Module 2 Public Hearing on 30 November 2023,transcript-of-module-2-public-hearing-on-30-november-2023,document,Transcript,,,https://covid19.public-inquiry.uk/documents/transcript-of-module-2-public-hearing-on-30-november-2023/,https://covid19.public-inquiry.uk/wp-content/uploads/2023/11/30195755/C-19-Inquiry-30-November-2023-Module-2-Day-29.pdf,data/raw/inquiry/document/transcript-of-module-2-public-hearing-on-30-november-2023.pdf,data/processed/inquiry/document/transcript-of-module-2-public-hearing-on-30-november-2023.txt,489827,true,true,true,true,2026-06-09T07:12:44.948884+00:00
transcript-of-module-2-public-hearing-on-01-december-2023,Transcript of Module 2 Public Hearing on 01 December 2023,transcript-of-module-2-public-hearing-on-01-december-2023,document,Transcript,,,https://covid19.public-inquiry.uk/documents/transcript-of-module-2-public-hearing-on-01-december-2023/,https://covid19.public-inquiry.uk/wp-content/uploads/2023/12/01151451/C-19-Inquiry-01-December-2023-Module-2-Day-30.pdf,data/raw/inquiry/document/transcript-of-module-2-public-hearing-on-01-december-2023.pdf,data/processed/inquiry/document/transcript-of-module-2-public-hearing-on-01-december-2023.txt,279956,true,true,true,true,2026-06-09T07:12:44.983338+00:00
transcript-of-module-2-public-hearing-on-07-december-2023,Transcript of Module 2 Public Hearing on 07 December 2023,transcript-of-module-2-public-hearing-on-07-december-2023,document,Transcript,,,https://covid19.public-inquiry.uk/documents/transcript-of-module-2-public-hearing-on-07-december-2023/,https://covid19.public-inquiry.uk/wp-content/uploads/2023/12/13184756/C-19-Inquiry-7-December-2023-Module-2-Day-31-2nd-rev.pdf,data/raw/inquiry/document/transcript-of-module-2-public-hearing-on-07-december-2023.pdf,data/processed/inquiry/document/transcript-of-module-2-public-hearing-on-07-december-2023.txt,471112,true,false,true,true,2026-06-09T07:12:45.016913+00:00
transcript-of-module-2-public-hearing-on-11-december-2023,Transcript of Module 2 Public Hearing on 11 December 2023,transcript-of-module-2-public-hearing-on-11-december-2023,document,Transcript,,,https://covid19.public-inquiry.uk/documents/transcript-of-module-2-public-hearing-on-11-december-2023/,https://covid19.public-inquiry.uk/wp-content/uploads/2023/12/11230950/C-19-Inquiry-11-December-2023-Module-2-Day-33.pdf,data/raw/inquiry/document/transcript-of-module-2-public-hearing-on-11-december-2023.pdf,data/processed/inquiry/document/transcript-of-module-2-public-hearing-on-11-december-2023.txt,503954,true,false,true,true,2026-06-09T07:12:45.045419+00:00
transcript-of-module-2-public-hearing-on-13-december-2023,Transcript of Module 2 Public Hearing on 13 December 2023,transcript-of-module-2-public-hearing-on-13-december-2023,document,Transcript,,,https://covid19.public-inquiry.uk/documents/transcript-of-module-2-public-hearing-on-13-december-2023/,https://covid19.public-inquiry.uk/wp-content/uploads/2023/12/13183600/C-19-Inquiry-13-December-2023-Module-2-Day-34.pdf,data/raw/inquiry/document/transcript-of-module-2-public-hearing-on-13-december-2023.pdf,data/processed/inquiry/document/transcript-of-module-2-public-hearing-on-13-december-2023.txt,479728,true,false,true,true,2026-06-09T07:12:45.077128+00:00
transcript-of-module-2-public-hearing-on-14-december-2023,Transcript of Module 2 Public Hearing on 14 December 2023,transcript-of-module-2-public-hearing-on-14-december-2023,document,Transcript,,,https://covid19.public-inquiry.uk/documents/transcript-of-module-2-public-hearing-on-14-december-2023/,https://covid19.public-inquiry.uk/wp-content/uploads/2023/12/14151435/C-19-Inquiry-14-December-2023-Module-2-Day-35.pdf,data/raw/inquiry/document/transcript-of-module-2-public-hearing-on-14-december-2023.pdf,data/processed/inquiry/document/transcript-of-module-2-public-hearing-on-14-december-2023.txt,243719,true,false,true,true,2026-06-09T07:12:45.107214+00:00
transcript-of-module-2-public-hearing-on-23-may-2024,Transcript of Module 2 Public Hearing on 23 May 2024,transcript-of-module-2-public-hearing-on-23-may-2024,document,Transcript,,,https://covid19.public-inquiry.uk/documents/transcript-of-module-2-public-hearing-on-23-may-2024/,https://covid19.public-inquiry.uk/wp-content/uploads/2024/05/23214722/C-19-Inquiry-23-May-2024-Module-2-Day-36.pdf,data/raw/inquiry/document/transcript-of-module-2-public-hearing-on-23-may-2024.pdf,data/processed/inquiry/document/transcript-of-module-2-public-hearing-on-23-may-2024.txt,460414,true,false,true,true,2026-06-09T07:12:45.143371+00:00
module-2-in-brief,"Module 2, 2A, 2B, 2C Report â€˜In Briefâ€™ summary â€“ Core decision-making and political governance",module-2-in-brief,report,Report,,,https://covid19.public-inquiry.uk/documents/module-2-in-brief/,https://covid19.public-inquiry.uk/wp-content/uploads/2025/11/18092508/M2-In-Brief-17.11.25-.pdf,data/raw/inquiry/report/module-2-in-brief.pdf,data/processed/inquiry/report/module-2-in-brief.txt,12836,true,false,true,true,2026-06-09T07:12:48.345170+00:00
