panel,model,repetition,endpoint,reasoning_effort,temperature,chunk_size,overlap,manual_decisions_recovered,manual_decisions_total,manual_recall_pct,candidate_total,traceable_candidates,traceability_pct,unmatched_candidates,pre_dedupe_candidates,duplicate_removed,parse_schema_failures,api_runtime_failures,reasoning_tokens_total,api_calls,prompt_tokens,completion_tokens,total_tokens,wall_seconds,returned_model_snapshots
extended_gpt56,gpt-5.6-terra,1,chat.completions,none,omitted_api_default,7,2,3,6,50.0,6,4,66.7,1,6,0,0,0,0,12,7930,716,8646,16.18,gpt-5.6-terra
extended_gpt56,gpt-5.6-terra,2,chat.completions,none,omitted_api_default,7,2,3,6,50.0,6,4,66.7,1,6,0,0,0,0,12,7930,735,8665,14.57,gpt-5.6-terra
extended_gpt56,gpt-5.6-terra,3,chat.completions,none,omitted_api_default,7,2,3,6,50.0,6,4,66.7,1,6,0,0,0,0,12,7930,728,8658,14.92,gpt-5.6-terra
extended_gpt56,gpt-5.6-sol,1,chat.completions,none,omitted_api_default,7,2,3,6,50.0,7,5,71.4,2,7,0,0,0,0,12,7930,887,8817,39.2,gpt-5.6-sol
extended_gpt56,gpt-5.6-sol,2,chat.completions,none,omitted_api_default,7,2,4,6,66.7,7,6,85.7,1,7,0,0,0,0,12,7930,890,8820,41.22,gpt-5.6-sol
extended_gpt56,gpt-5.6-sol,3,chat.completions,none,omitted_api_default,7,2,4,6,66.7,7,6,85.7,1,7,0,0,0,0,12,7930,891,8821,31.54,gpt-5.6-sol
extended_gpt56,gpt-5.6-luna,1,chat.completions,none,omitted_api_default,7,2,1,6,16.7,3,3,100.0,2,3,0,0,0,0,12,7930,401,8331,12.39,gpt-5.6-luna
extended_gpt56,gpt-5.6-luna,2,chat.completions,none,omitted_api_default,7,2,2,6,33.3,3,3,100.0,1,3,0,0,0,0,12,7930,383,8313,10.97,gpt-5.6-luna
extended_gpt56,gpt-5.6-luna,3,chat.completions,none,omitted_api_default,7,2,3,6,50.0,4,3,75.0,1,4,0,0,0,0,12,7930,512,8442,11.96,gpt-5.6-luna
