panel,model,repetitions_completed,recovery_rep1,recovery_rep2,recovery_rep3,recovery_min,recovery_max,recovery_mean,recovery_identical_all_reps,mean_candidates,mean_traceability_pct,total_reasoning_tokens,total_tokens,total_parse_failures,total_api_failures,endpoint,reasoning_effort,temperature,returned_model_snapshots
extended_gpt56,gpt-5.6-terra,3,3,3,3,3,3,3.0,True,6.0,66.7,0,25969,0,0,chat.completions,none,omitted_api_default,gpt-5.6-terra
extended_gpt56,gpt-5.6-sol,3,3,4,4,3,4,3.67,False,7.0,80.9,0,26458,0,0,chat.completions,none,omitted_api_default,gpt-5.6-sol
extended_gpt56,gpt-5.6-luna,3,1,2,3,1,3,2.0,False,3.33,91.7,0,25086,0,0,chat.completions,none,omitted_api_default,gpt-5.6-luna
